positive_pairs.pickle,negative_pairs.pickle
"('Person', 'Hair')","('People', 'Pc')"
"('Human', 'Hair')","('Crowd', 'Nature')"
"('Clothing', 'Crowd')","('Crowd', 'Door')"
"('Clothing', 'Plant')","('Crowd', 'Cafe')"
"('Clothing', 'Jacket')","('Hair', 'Man')"
"('Clothing', 'Grass')","('Hair', 'Overcoat')"
"('Clothing', 'Tuxedo')","('Hair', 'Nature')"
"('Apparel', 'Crowd')","('Photography', 'Jacket')"
"('Apparel', 'Plant')","('Photography', 'Food')"
"('Apparel', 'Jacket')","('Photography', 'Gown')"
"('Apparel', 'Grass')","('Photography', 'Pants')"
"('Apparel', 'Tuxedo')","('Photography', 'Couch')"
"('Face', 'Performer')","('Photography', 'Flooring')"
"('Coat', 'Architecture')","('Photography', 'Window')"
"('Coat', 'Club')","('Photo', 'Jacket')"
"('Coat', 'Military')","('Photo', 'Food')"
"('Coat', 'Wine')","('Photo', 'Gown')"
"('Room', 'Furniture')","('Photo', 'Pants')"
"('Room', 'Overcoat')","('Photo', 'Couch')"
"('Room', 'Wood')","('Photo', 'Flooring')"
"('Furniture', 'Clothing')","('Photo', 'Window')"
"('Furniture', 'Apparel')","('Head', 'Fashion')"
"('Furniture', 'Finger')","('Head', 'Audience')"
"('Furniture', 'Table')","('Head', 'Tree')"
"('Furniture', 'Food')","('Head', 'Plywood')"
"('Furniture', 'Machine')","('Head', 'Machine')"
"('Furniture', 'Flooring')","('Head', 'Vigil')"
"('Furniture', 'Shop')","('Head', 'Meal')"
"('Man', 'Dating')","('Head', 'Shoe')"
"('Man', 'Skin')","('Accessory', 'Dungeon')"
"('Female', 'Finger')","('Accessory', 'Pc')"
"('Female', 'Cafeteria')","('Accessories', 'Dungeon')"
"('Overcoat', 'Hug')","('Accessories', 'Pc')"
"('Overcoat', 'Wine')","('Suit', 'Jacket')"
"('People', 'Audience')","('Suit', 'Pants')"
"('Crowd', 'Accessory')","('Suit', 'Vegetation')"
"('Crowd', 'Accessories')","('Suit', 'Shorts')"
"('Crowd', 'Speech')","('Woman', 'Lighting')"
"('Crowd', 'Jewelry')","('Woman', 'Crypt')"
"('Hair', 'Person')","('Woman', 'Machine')"
"('Hair', 'Human')","('Woman', 'Cafe')"
"('Hair', 'Blossom')","('Woman', 'Clinic')"
"('Hair', 'Flower')","('Woman', 'Pc')"
"('Hair', 'Smile')","('Building', 'Hair')"
"('Photography', 'Mammal')","('Building', 'Ear')"
"('Photography', 'Painting')","('Building', 'School')"
