lag,movie,rms,-rms,-rms_normed,rms_normed
29,27_dresses,105.0174886229273,-105.0174886229273,0.06495825854056564,-0.06495825854056564
30,27_dresses,109.30101154194037,-109.30101154194037,-0.024959191473312888,0.024959191473312888
31,27_dresses,93.96755302867187,-93.96755302867187,0.2969126685526786,-0.2969126685526786
32,27_dresses,105.59402404218528,-105.59402404218528,0.05285593161889621,-0.05285593161889621
33,27_dresses,106.48752276156151,-106.48752276156151,0.03410007856150507,-0.03410007856150507
34,27_dresses,106.36774063926512,-106.36774063926512,0.03661448158858706,-0.03661448158858706
35,27_dresses,110.00766548210842,-110.00766548210842,-0.03979289764076141,0.03979289764076141
36,27_dresses,115.27201964250068,-115.27201964250068,-0.1502994388737629,0.1502994388737629
37,27_dresses,110.00099792748036,-110.00099792748036,-0.03965293585666009,0.03965293585666009
38,27_dresses,112.62745484339756,-112.62745484339756,-0.09478613180673649,0.09478613180673649
39,27_dresses,103.37585702387459,-103.37585702387459,0.09941852174911081,-0.09941852174911081
40,27_dresses,115.77623054603927,-115.77623054603927,-0.16088356777246615,0.16088356777246615
41,27_dresses,108.39279086678194,-108.39279086678194,-0.005894302898152627,0.005894302898152627
42,27_dresses,109.93578315587013,-109.93578315587013,-0.03828398182576154,0.03828398182576154
43,27_dresses,103.70107367681291,-103.70107367681291,0.09259174559146155,-0.09259174559146155
